,日期,AQI
545,2019-06-30,26.718
546,2019-07-01,38.116
547,2019-07-02,62.029
548,2019-07-03,56.947
549,2019-07-04,86.379
550,2019-07-05,52.682
551,2019-07-06,24.466
552,2019-07-07,28.529
553,2019-07-08,44.322
554,2019-07-09,50.494
555,2019-07-10,63.046
556,2019-07-11,50.776
557,2019-07-12,62.278
558,2019-07-13,86.786
559,2019-07-14,50.174
560,2019-07-15,92.009
561,2019-07-16,61.545
562,2019-07-17,64.266
563,2019-07-18,87.185
564,2019-07-19,80.354
565,2019-07-20,76.961
566,2019-07-21,98.507
567,2019-07-22,100.723
568,2019-07-23,50.738
569,2019-07-24,63.965
570,2019-07-25,61.075
571,2019-07-26,71.855
572,2019-07-27,119.108
573,2019-07-28,76.966
574,2019-07-29,27.389
575,2019-07-30,46.28
576,2019-07-31,58.927
577,2019-08-01,66.895
578,2019-08-02,47.4
579,2019-08-03,55.636
580,2019-08-04,55.879
581,2019-08-05,44.163
582,2019-08-06,59.728
583,2019-08-07,41.299
584,2019-08-08,56.496
585,2019-08-09,58.783
586,2019-08-10,35.009
587,2019-08-11,25.733
588,2019-08-12,23.907
589,2019-08-13,23.453
590,2019-08-14,33.607
591,2019-08-15,48.295
592,2019-08-16,25.942
593,2019-08-17,28.42
594,2019-08-18,44.622
595,2019-08-19,72.919
596,2019-08-20,70.87
597,2019-08-21,45.883
598,2019-08-22,36.586
599,2019-08-23,36.331
600,2019-08-24,50.754
601,2019-08-25,52.368
602,2019-08-26,102.721
603,2019-08-27,56.068
604,2019-08-28,31.498
605,2019-08-29,24.778
606,2019-08-30,25.664
607,2019-08-31,43.762
608,2019-09-01,55.472
609,2019-09-02,67.263
610,2019-09-03,88.985
611,2019-09-04,87.305
612,2019-09-05,80.558
613,2019-09-06,86.352
614,2019-09-07,86.69
615,2019-09-08,73.512
616,2019-09-09,93.486
617,2019-09-10,21.54
618,2019-09-11,30.187
619,2019-09-12,32.355
620,2019-09-13,40.276
621,2019-09-14,31.963
622,2019-09-15,51.01
623,2019-09-16,45.457
624,2019-09-17,55.902
625,2019-09-18,29.481
626,2019-09-19,53.138
627,2019-09-20,56.79
628,2019-09-21,85.018
629,2019-09-22,97.165
630,2019-09-23,57.514
631,2019-09-24,39.61
632,2019-09-25,54.88
633,2019-09-26,62.561
634,2019-09-27,78.176
635,2019-09-28,81.287
636,2019-09-29,89.187
637,2019-09-30,98.892
638,2019-10-02,72.556
639,2019-10-03,89.855
640,2019-10-04,25.163
