,日期,人数,页数,week
2058,2020-01-20,969.78,3374,1
2060,2020-01-19,993.29,3374,7
2062,2020-01-18,739.41,3375,6
2064,2020-01-17,1210.56,3376,5
2066,2020-01-16,3.528,3377,4
1083,2020-01-15,1228.25,2792,3
2070,2020-01-14,1240.58,3379,2
2072,2020-01-13,1246.98,3379,1
2074,2020-01-12,771.36,3380,7
2076,2020-01-11,845.75,3380,6
1066,2020-01-10,1309.66,2757,5
1068,2020-01-09,1246.47,2760,4
2082,2020-01-08,3.7825,3382,3
2085,2020-01-07,1217.43,3383,2
2087,2020-01-06,1259.21,3383,1
2084,2020-01-05,675.18,3383,7
2091,2020-01-04,734.62,3385,6
2094,2020-01-03,1221.68,3385,5
2096,2020-01-02,1177.05,3386,4
2099,2020-01-01,696.76,3387,3
1104,2019-12-31,1264.62,2819,2
2103,2019-12-30,1168.6,3390,1
2106,2019-12-29,696.21,3391,7
2105,2019-12-28,3.6305,3391,6
1133,2019-12-27,1263.33,2851,5
2111,2019-12-26,1211.51,3395,4
2113,2019-12-25,1232.62,3395,3
2115,2019-12-24,1234.73,3396,2
2117,2019-12-23,1211.86,3397,1
2119,2019-12-22,3.3474,3398,7
2121,2019-12-21,782.49,3398,6
2123,2019-12-20,3.985,3399,5
2125,2019-12-19,1202.81,3400,4
2127,2019-12-18,3.6652,3400,3
2129,2019-12-17,1204.86,3400,2
1149,2019-12-16,1236.59,2867,1
2133,2019-12-15,712.36,3402,7
2134,2019-12-14,785.96,3402,6
2136,2019-12-13,3.8146,3402,5
2138,2019-12-12,3.4721,3403,4
2140,2019-12-11,1199.28,3404,3
2142,2019-12-10,1199.31,3404,2
2144,2019-12-09,1204.33,3405,1
2146,2019-12-08,717.5,3405,7
2148,2019-12-07,794.08,3405,6
2150,2019-12-06,1282.81,3406,5
1179,2019-12-05,1202.59,2889,4
1183,2019-12-04,1206.07,2892,3
2157,2019-12-03,1179.92,3407,2
2160,2019-12-02,1200.65,3408,1
2159,2019-12-01,3.2534,3408,7
2162,2019-11-30,816.19,3408,6
2164,2019-11-29,1290.05,3409,5
2166,2019-11-28,1212.55,3409,4
2168,2019-11-27,1214.06,3409,3
2170,2019-11-26,1210.79,3410,2
2172,2019-11-25,1211.84,3410,1
1213,2019-11-24,723.86,2915,7
2176,2019-11-23,806.2,3411,6
2177,2019-11-22,1282.82,3411,5
1226,2019-11-21,1210.1,2923,4
2181,2019-11-20,1222.72,3412,3
2182,2019-11-19,1209.1,3412,2
1234,2019-11-18,1200.41,2930,1
1238,2019-11-17,735.08,2932,7
1243,2019-11-16,823.83,2933,6
2190,2019-11-15,13.56,3414,5
2193,2019-11-14,1208.73,3415,4
2195,2019-11-13,1195.57,3415,3
2197,2019-11-12,1212.21,3416,2
2199,2019-11-11,1225.2,3416,1
2200,2019-11-10,773.39,3417,7
2202,2019-11-09,889.91,3418,6
2204,2019-11-08,1330.04,3418,5
1276,2019-11-07,1235.63,2948,4
2208,2019-11-06,1235.24,3419,3
2210,2019-11-05,1231.14,3419,2
2212,2019-11-04,1236.66,3419,1
2214,2019-11-03,792.87,3420,7
2216,2019-11-02,833.95,3420,6
2218,2019-11-01,1320.41,3421,5
2220,2019-10-31,1242.93,3421,4
2222,2019-10-30,1235.9,3422,3
2224,2019-10-29,1226.01,3422,2
2226,2019-10-28,1210.25,3423,1
2228,2019-10-27,814.31,3423,7
2230,2019-10-26,897.42,3424,6
1319,2019-10-25,1340.5,2974,5
2234,2019-10-24,1221.14,3425,4
2237,2019-10-23,1258.74,3425,3
2239,2019-10-22,1252.60,3426,2
2242,2019-10-21,1257.45,3426,1
2244,2019-10-20,848.02,3427,7
2246,2019-10-19,920.75,3427,6
2248,2019-10-18,1340.04,3428,5
2251,2019-10-17,1240.69,3429,4
2253,2019-10-16,1252.33,3430,3
2255,2019-10-15,1253.77,3430,2
2257,2019-10-14,1243.12,3430,1
2259,2019-10-13,720.33,3431,7
2261,2019-10-12,1187.1,3431,6
2263,2019-10-11,1215.04,3432,5
2265,2019-10-10,1206.7,3432,4
2267,2019-10-09,1196.85,3433,3
2269,2019-10-08,4.0844,3433,2
1382,2019-10-07,746.3,3006,1
2276,2019-10-06,733.32,3434,7
1397,2019-10-05,757.37,3010,6
2281,2019-10-04,611.95,3436,5
2283,2019-10-03,750.28,3436,4
2284,2019-10-02,734.64,3436,3
2287,2019-10-01,426.59,3437,2
1442,2019-09-30,981.49,3036,1
1431,2019-09-29,1079.66,3031,7
1434,2019-09-28,778.56,3033,6
1443,2019-09-27,1214.02,3036,5
1446,2019-09-26,1184.0,3038,4
1450,2019-09-25,1186.64,3039,3
